CNT,n
QES,32330
BRA,23141
CAN,20058
AUS,14530
ARE,14167
GBR,14157
QAT,12083
COL,11795
ITA,11583
QCH,9841
BEL,9651
THA,8249
TAP,7708
MEX,7568
PRT,7325
JOR,7267
DNK,7161
CHL,7053
AUT,7007
PER,6971
CZE,6894
CRI,6866
ESP,6736
JPN,6647
ISR,6598
LTU,6525
IDN,6513
DEU,6504
SVN,6406
SVK,6350
SGP,6115
FRA,6108
URY,6062
RUS,6036
BGR,5928
TUR,5895
FIN,5882
CHE,5860
VNM,5826
HRV,5809
IRL,5741
USA,5712
MNE,5665
HUN,5658
EST,5587
KOR,5581
GRC,5532
DZA,5519
SWE,5458
NOR,5456
NLD,5385
TUN,5375
HKG,5359
MDA,5325
MKD,5324
GEO,5316
LUX,5299
ALB,5215
ROU,4876
LVA,4869
KSV,4826
DOM,4740
TTO,4692
LBN,4546
NZL,4520
POL,4478
MAC,4476
MLT,3634
ISL,3371
QUE,1887
QAR,1657
QUC,1652
QUD,1398
