Name,wmathgap,wreadgap,wsciegap
Albania,-10.636796010048897,-55.06576080230559,-24.132226428083982
Algeria,-5.720396461076632,-29.90416652709274,-14.615593702448848
Argentina,22.369445117936493,-18.375671988655142,14.918533616588832
Australia,5.387898477159581,-31.544134563126534,2.4352306916773614
Austria,26.185886196387855,-23.48862620167739,18.868887988363383
Belgium,15.500524821313547,-13.388340575053519,12.533340318366584
Brazil,16.660224704603934,-25.102075502592413,3.2795660262428896
Bulgaria,-1.5120592981630807,-48.01194084471342,-16.36808126899865
Canada,6.180568217149357,-26.601784313377493,1.0754741782691326
Chile,20.06035531847158,-10.350401602772024,15.58354481195471
China,7.368562821035198,-18.439111232033042,9.232229221156103
Colombia,11.84931435452296,-16.2812354817724,11.551446209255005
Costa Rica,17.634457618319402,-13.170720121143745,18.642693754968036
Croatia,11.22770542734969,-25.14394403569372,5.895132925399878
Czechia,4.22868623143296,-28.785148362653047,10.343449414473298
Denmark,7.191229291110517,-22.67848553087606,6.351812543719859
Dominican Republic,-4.629474311989668,-29.290616078140147,2.061245266702201
Estonia,6.581521667634661,-26.230186574174866,3.4244724410610843
Finland,-6.180410744241669,-48.64928016373386,-18.964405289502224
France,8.220750132844842,-27.75499173591089,1.0226303970906656
Georgia,-12.545945029358222,-58.29200258293491,-16.782702396800687
Germany,17.77379251025434,-18.047336438809623,9.839628783343244
Greece,-0.516869313608936,-36.01167815090565,-8.51473146835616
Hong Kong,4.434443227162774,-28.342756439225354,-0.8874456649156173
Hungary,9.313576057252135,-27.470578963901914,1.1364441817670468
Iceland,-1.9645785142455452,-39.96306249252706,-2.3244404648297063
Indonesia,-1.8478427605340926,-22.863947256036,-3.5963810582386486
Ireland,17.764158118060266,-10.744628767648464,11.335079207010608
Israel,7.6036711428696435,-22.927885836696134,3.659604311187479
Italy,19.598133406493105,-17.04897915584303,17.78939587124421
Japan,13.405406337261184,-12.910505554463668,13.416665699139912
Jordan,-16.268405917194457,-72.29026243574162,-39.755954661802434
"Korea, Republic of",-4.466144453297716,-38.719653840215074,-8.872040155789193
Kosovo,9.210048183379627,-36.741325446253484,-10.107907699905297
Latvia,0.07513421077834437,-41.03187205282791,-10.71871994353171
Lebanon,23.748129615977348,-12.37182913684353,3.3980137912258215
Lithuania,-0.20810547408677849,-36.637175521067434,-7.633584441235655
Luxembourg,8.17524239464717,-20.029953321480207,6.943714873590636
Macao,-9.667455013745212,-34.43930823692659,-8.035053672281379
"Macedonia, Republic of",-4.989812857808602,-44.83278325854195,-20.223506523320054
Malta,-2.0562544932329274,-41.94587462368963,-10.394085079356557
Mexico,7.4826165037041505,-16.863645119147975,7.528225234665172
"Moldova, Republic of",-2.3188512780531596,-50.57421813123142,-7.093146403450817
Montenegro,1.0059296895084913,-31.369158059351378,-5.487701930642459
Netherlands,2.170345683161486,-21.677423527898384,4.575581340688245
New Zealand,5.4023564451038055,-35.350303800428605,4.515329008208369
Norway,-5.244174322049673,-40.27588052798984,2.803733772073315
Peru,8.942345453639518,-6.9093554720073485,11.681737553825656
Poland,12.513755977407982,-30.067659527263174,6.144626524370324
Portugal,9.508311158296635,-15.902038399692856,10.70805654351102
Qatar,-15.900495282644158,-52.50976147506941,-22.95891785388585
Romania,0.7735480216568931,-17.91492181819865,-3.9587285917036183
Russian Federation,6.066196464850464,-27.444329093194085,3.575162105289735
Singapore,0.08053780103523422,-18.11885428008827,4.947734982906354
Slovakia,3.883849517691317,-37.45030636922587,-1.219458423050412
Slovenia,7.054542266429223,-42.86234882656788,-5.869968919588871
Spain,14.981919282286924,-19.122373577251892,7.669571003270221
Sweden,-1.13469379359276,-40.59254117365475,-4.3447087106624735
Switzerland,13.126244341740062,-23.450907999230537,8.27801301790231
"Taiwan, Province of China",6.631356124095532,-24.428358196937836,4.344099295048522
Thailand,-4.060249087019486,-32.87454342425423,-8.319324701606831
Trinidad and Tobago,-18.6337278398193,-50.69705851983042,-20.332953999292045
Tunisia,6.472433853630264,-29.786086927696488,4.104318065615189
Turkey,8.745796260492966,-26.747557651228078,-7.5419383060466885
United Arab Emirates,-7.592828482412358,-50.26486543241009,-24.960096006974425
United Kingdom,13.821292934584108,-20.891475376909455,2.09515689243068
United States,9.087991794555478,-18.406468274429244,7.0734585565633665
Uruguay,14.755472170240864,-25.031733658140922,8.348345035078239
Viet Nam,-0.9105301995240325,-24.512692221393706,-0.875334836499519
