FL_DATE,CARRIER,FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
2017-05-26,AA,2246,CVG,DFW,0748,0917,812
2017-05-02,AA,2276,DFW,IND,2020,2323,761
2017-05-05,AA,2278,DFW,OKC,0848,0941,175
2017-05-11,AA,2287,STL,ORD,0454,0600,258
2017-05-03,AA,2288,IND,DFW,0601,0719,761
2017-05-02,AA,2291,CHS,DFW,0807,0947,987
2017-05-21,AA,2297,DFW,MKE,0700,0905,853
2017-05-30,AA,2297,DFW,MKE,0659,0909,853
2017-05-21,AA,2297,MKE,DFW,1000,1223,853
2017-05-30,AA,2297,MKE,DFW,0953,1216,853
2017-05-07,AA,2302,DFW,MSY,1807,1916,447
2017-05-07,AA,2302,MSY,DFW,1947,2112,447
2017-05-31,AA,2304,DFW,IND,1826,2149,761
2017-05-19,AA,2311,DFW,ORD,1418,1641,802
2017-05-20,AA,2314,RIC,DFW,0724,1004,1158
2017-05-31,AA,2314,RIC,DFW,NA,NA,1158
2017-05-03,AA,2315,CHS,DFW,1659,1911,987
2017-05-25,AA,2315,DFW,CVG,2024,2331,812
2017-05-03,AA,2316,DFW,CHS,1231,1616,987
2017-05-24,AA,2335,ORD,DFW,1324,1544,802
2017-05-01,AA,2338,DFW,CHS,1904,2225,987
2017-05-19,AA,2339,ORD,DFW,1726,1941,802
2017-05-01,AA,2358,DFW,MSY,1350,1507,447
2017-05-09,AA,2358,DFW,MSY,1346,1505,447
2017-05-01,AA,2358,MSY,DFW,1551,1720,447
2017-05-09,AA,2358,MSY,DFW,1549,1724,447
2017-05-21,AA,2361,DFW,BWI,1332,1722,1217
2017-05-27,AA,2364,CLE,DFW,0710,0903,1021
2017-05-30,AA,2383,DFW,AMA,1830,1944,312
2017-05-02,AA,2386,DFW,IAH,1619,1719,224
2017-05-02,AA,2386,IAH,DFW,1807,1914,224
2017-05-31,AA,2392,AMA,DFW,0749,0908,312
2017-05-13,AA,2396,DFW,OMA,1851,2044,583
2017-05-02,AA,2400,DFW,MSY,1110,1227,447
2017-05-02,AA,2400,MSY,DFW,1342,1516,447
2017-05-20,AA,2426,DFW,TUL,1956,2047,237
2017-05-14,AA,2431,DFW,IAH,1041,1142,224
2017-05-14,AA,2431,IAH,DFW,1227,1325,224
2017-05-29,AA,386,DFW,JAX,1517,1830,918
2017-05-29,AA,386,JAX,DFW,1911,2042,918
2017-05-27,AA,391,DFW,TUL,1038,1135,237
2017-05-27,AA,391,TUL,DFW,1223,1335,237
2017-05-09,AA,5,OKC,DFW,0502,0559,175
2017-05-11,AA,46,MSP,ORD,1627,1754,334
2017-05-16,AA,46,MSP,ORD,1936,2103,334
2017-05-22,AA,46,MSP,ORD,1600,1734,334
2017-05-08,AA,137,DFW,PIT,0657,1032,1067
2017-05-13,AA,173,RDU,DFW,1549,1730,1061
2017-05-10,AA,174,DFW,RDU,1024,1413,1061
2017-05-08,AA,188,PIT,DFW,1119,1301,1067
2017-05-24,AA,190,DFW,SAT,1645,1753,247
2017-05-24,AA,190,SAT,DFW,1848,1952,247
2017-05-31,AA,294,DFW,ORF,1016,1359,1212
2017-05-31,AA,294,ORF,DFW,1512,1730,1212
2017-05-11,AA,312,ORD,MSP,1433,1546,334
2017-05-16,AA,312,ORD,MSP,1514,1659,334
2017-05-22,AA,312,ORD,MSP,1338,1456,334
2017-05-28,AA,340,DFW,MCI,1051,1222,460
2017-05-28,AA,340,MCI,DFW,1308,1501,460
2017-05-07,AA,351,DFW,IAH,1428,1527,224
2017-05-03,AA,1054,DFW,IAH,0837,0935,224
2017-05-05,AA,1067,DFW,DTW,1230,1615,986
2017-05-21,AA,1106,BWI,DFW,1818,2021,1217
2017-05-10,AA,1108,ICT,DFW,0754,0938,328
2017-05-30,AA,1129,DFW,IND,1306,1600,761
2017-05-30,AA,1129,IND,DFW,1638,1758,761
2017-05-11,AA,1143,ORD,RDU,1904,2157,646
2017-05-03,AA,1181,DFW,DAY,2033,2331,861
2017-05-05,AA,1181,DFW,DAY,2023,2343,861
2017-05-20,AA,1194,CMH,DFW,1639,1830,926
2017-05-24,AA,1234,DFW,MKE,2039,2320,853
2017-05-24,AA,1244,DTW,ORD,1159,1232,235
2017-05-24,AA,1244,ORD,DTW,0841,1104,235
2017-05-09,AA,1251,DFW,ICT,1835,1943,328
2017-05-11,AA,1252,ORD,RDU,0737,1021,646
2017-05-16,AA,1252,ORD,RDU,0728,1019,646
2017-05-22,AA,1252,ORD,RDU,0732,1021,646
2017-05-11,AA,1252,RDU,ORD,1114,1233,646
2017-05-16,AA,1252,RDU,ORD,1115,1223,646
2017-05-22,AA,1252,RDU,ORD,1117,1221,646
2017-05-21,AA,1255,TUL,DFW,0454,0557,237
2017-05-19,AA,1271,DFW,RIC,2102,0107,1158
2017-05-25,AA,1291,MKE,DFW,0649,0914,853
2017-05-29,AA,1556,DFW,IAD,0659,1037,1172
2017-05-29,AA,1556,IAD,DFW,1133,1354,1172
2017-05-10,AA,1559,ORD,MSP,1659,1812,334
2017-05-23,AA,1559,ORD,MSP,1731,1907,334
2017-05-10,AA,1559,RDU,ORD,1453,1606,646
2017-05-23,AA,1559,RDU,ORD,1541,1642,646
2017-05-26,AA,1561,AUS,DFW,1237,1333,190
2017-05-26,AA,1561,DFW,AUS,1050,1155,190
2017-05-13,AA,1575,ORD,RDU,1206,1452,646
2017-05-23,AA,1575,ORD,RDU,1201,1505,646
2017-05-26,AA,1582,DFW,CLE,2019,2356,1021
2017-05-23,AA,1585,STL,ORD,0714,0820,258
2017-05-03,AA,1604,IAH,DFW,1028,1141,224
2017-05-08,AA,2176,DFW,OKC,2207,2301,175
2017-05-04,AA,2194,COS,DFW,1057,1354,592
2017-05-04,AA,2194,DFW,COS,0903,1019,592
2017-05-10,AA,2201,MSP,ORD,2037,2202,334
2017-05-23,AA,2201,MSP,ORD,1946,2126,334
2017-05-28,AA,2443,LBB,DFW,0813,0942,282
2017-05-27,AA,2448,DFW,LBB,1944,2047,282
2017-05-08,AA,2458,DFW,PIT,1425,1754,1067
2017-05-08,AA,2458,PIT,DFW,1852,2038,1067
2017-05-27,AA,2534,DFW,ELP,1451,1529,551
2017-05-27,AA,2534,ELP,DFW,1614,1851,551
2017-05-14,AA,2585,DFW,MKE,1452,1700,853
2017-05-14,AA,2585,MKE,DFW,1758,2010,853
2017-05-01,AA,2663,DAY,DFW,0558,0739,861
2017-05-04,AA,2663,DAY,DFW,0553,0734,861
2017-05-06,AA,2663,DAY,DFW,0754,0911,861
2017-05-18,AA,2668,DAY,DFW,NA,NA,861
2017-05-14,AA,2722,DFW,ORD,2213,0016,802
2017-05-21,AA,2722,DFW,ORD,2303,0109,802
2017-05-20,AA,909,DFW,CMH,1252,1601,926
2017-05-01,AA,970,DFW,MCI,0852,1027,460
2017-05-09,AA,970,DFW,MCI,0855,1026,460
2017-05-01,AA,970,MCI,DFW,1109,1256,460
2017-05-09,AA,970,MCI,DFW,1104,1243,460
2017-05-05,AA,1014,DTW,DFW,1706,1845,986
2017-05-18,AA,1019,DFW,COS,NA,NA,592
2017-05-12,AA,1305,ORD,SLC,1006,1212,1250
2017-05-12,AA,1305,SLC,ORD,1309,1724,1250
2017-05-22,AA,1323,ORD,STL,1855,2017,258
2017-05-19,AA,1336,ORD,DFW,1030,1315,802
2017-05-28,AA,1382,DFW,IND,1550,1845,761
2017-05-28,AA,1382,IND,DFW,2027,2145,761
2017-05-07,AA,1444,DFW,MFE,0906,1032,469
2017-05-07,AA,1444,MFE,DFW,1129,1300,469
2017-05-24,AA,1475,STL,ORD,0602,0748,258
2017-05-07,AA,1485,IAH,DFW,1619,1715,224
2017-05-26,AA,1513,COS,DFW,1629,1915,592
2017-05-26,AA,1513,DFW,COS,1451,1549,592
2017-05-12,AA,1539,RDU,ORD,0740,0853,646
2017-05-10,AA,2201,ORD,STL,2306,0021,258
2017-05-23,AA,2201,ORD,STL,2207,2315,258
2017-05-14,AA,2209,OMA,DFW,0724,0916,583
2017-05-05,AA,2210,OKC,DFW,1037,1135,175
2017-05-06,AA,2232,DFW,DSM,1103,1257,624
2017-05-25,AA,2232,DFW,DSM,1059,1245,624
2017-05-06,AA,2232,DSM,DFW,1337,1517,624
2017-05-25,AA,2232,DSM,DFW,1331,1521,624
2017-05-25,AA,2236,DFW,TUL,1628,1729,237
2017-05-25,AA,2236,TUL,DFW,1815,1921,237
