Year,Salary_Cap
1984-85,7934034
1985-86,9153509
1986-87,10317292
1987-88,12354015
1988-89,13829137
1989-90,17783913
1990-91,20658962
1991-92,21113943
1992-93,22972126
1993-94,24268416
1994-95,24833276
1995-96,34761086
1996-97,35973807
1997-98,39119783
1998-99,42686775
1999-00,46798454
2000-01,47522364
2001-02,56008788
2002-03,51890436
2003-04,55016264
2004-05,53243484
2005-06,58202129
2006-07,60741551
2007-08,61244588
2008-09,64832889
2009-10,62718922
2010-11,61160859
2011-12,59928600
2012-13,59063916
2013-14,58753235
2014-15,63065000
2015-16,69126577
2016-17,91334866
2017-18,
